Price,Stars,Number of Reviews,Product Name,Brand,Year of Release,Color Category,Display Type,Screen Size,Screen Resolution,Touch Screen,Operating System,Voice Assistant Built-in,Storage Type,Total Storage Capacity,System Memory (RAM),Type of Memory (RAM),Battery Type,Battery Life (up to),Graphics Type,GPU Brand,Graphics,Processor Brand,Processor Model,Number of CPU Cores,CPU Base Clock Frequency,Product Weight,Backlit Keyboard,Front Facing Camera Video Resolution,Number of HDMI Outputs (Total)
$599.99,4.7,583,"Yoga 7i 16"" 2.5K Touch 2-in-1 Laptop - Intel Evo Platform - Core i5-1240P - 8GB Memory - 256GB SSD",Lenovo,2022,Gray,LCD,16 inches,2560 x 1600,Yes,Windows 11 Home,,SSD,256 gigabytes,8 gigabytes,LPDDR5,Lithium-ion polymer,15 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 12th Generation Core i5 Evo Platform,12-core,4.4 gigahertz,4.18 pounds,Yes,,1
"$1,149.99",5.0,1 Review,"Geek Squad Certified Refurbished MacBook Pro®  - 15"" Display - Intel Core i7 - 16 GB Memory - 512GB Flash Storage",Apple,2023,Gray,LED,15.4 inches,2880 x 1800 (Retina),No,Mac OS,,SSD,512 gigabytes,16 gigabytes,LPDDR3,Lithium-polymer,10 hours,Dedicated,AMD Radeon,AMD Radeon Pro 560,Intel,Intel 7th Generation Core i7,,2.9 gigahertz,4.02 pounds,Yes,,0
"$2,999.99",5.0,3,Blade 16 - 16'' Gaming Laptop - QHD+ 240 Hz - Intel 24-Core i9-13950HX - NVIDIA GeForce RTX 4070 - 16GB RAM - 1TB SSD,Razer,2023,Black,,16 inches,2560 x 1600,No,Windows 11 Home,,SSD,1000 gigabytes,16 gigabytes,GDDR5,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 4070,Intel,Intel 13th Generation Core i9,,,5.4 pounds,Yes,,
$412.99,,Be the first to write a review,"Latitude 7480 14"" Refurbished Touch-Screen Laptop - Intel Core i5 - 16GB Memory - 512GB SSD",Dell,2017,Black,,14 inches,1920 x 1080 (Full HD),Yes,Windows 10 Pro,,SSD,512 gigabytes,16 gigabytes,DDR4 SDRAM,Lithium-ion,,Integrated,Intel,Intel HD Graphics 620,Intel,Intel 6th Generation Core i5,2-core (dual-core),2.4 gigahertz,3.01 pounds,No,720p,1
"$2,019.99",,Be the first to write a review,"Precision 3000 15.6"" Laptop - Intel Core i7 - 16 GB Memory - NVIDIA T600 - 512 GB SSD",Dell,2022,Gray,,15.6 inches,1920 x 1080 (Full HD),No,Windows 10 Pro,No,SSD,512 gigabytes,16 gigabytes,DDR5 SDRAM,Other,,Dedicated,NVIDIA,NVIDIA T600,Intel,Intel 12th Generation Core i7,,2.3 gigahertz,3.92 pounds,Yes,,
$849.99,5.0,1 Review,"Geek Squad Certified Refurbished MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 8GB Memory - 512GB SSD",Apple,2019,Space Gray,LED,13.3 inches,2560 x 1600 (Retina),No,Mac OS,Siri,SSD,512 gigabytes,8 gigabytes,LPDDR3,Lithium-polymer,,Integrated,Intel,Intel Iris Plus Graphics 655,Intel,Intel 8th Generation Core i5,,2.4 gigahertz,3.02 pounds,Yes,720p,
"$2,099.99",4.3,56,"m15 R7 15.6"" QHD 240Hz Gaming Laptop - AMD Ryzen 7 - 16GB Memory - NVIDIA GeForce RTX 3070 Ti - 512GB SSD",Alienware,2022,Black,LED,15.6 inches,2560 x 1440 (QHD),No,Windows 11 Home,,SSD,512 gigabytes,16 gigabytes,DDR5,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3070 Ti,AMD,AMD Ryzen 7 5000 Series,8-core,4.7 gigahertz,5.93 pounds,Yes,720p,1
$494.25,3.0,2,"EliteBook 14"" Refurbished Laptop - Intel Core i5 - 32GB Memory - 1TB Solid State Drive",HP,2018,Gray,,14 inches,1920 x 1080 (Full HD),No,Windows 10 Pro,,SSD,1000 gigabytes,32 gigabytes,DDR4 SoDIMM,Lithium-ion,,Integrated,Intel,Intel UHD Graphics 620,Intel,Intel 8th Generation Core i5,4-core (quad-core),3.6 gigahertz,3.26 pounds,No,1080p,1
"$1,849.99",4.2,15,ROG 14”165Hz Gaming Laptop QHD – AMD Ryzen 9 7940HS with 16GB DDR5 Memory – NVIDIA RTX 4070 8G GDDR6 – 1TB PCIe 4.0 SSD,ASUS,2023,White,LED,14 inches,2560 x 1440 (QHD),No,Windows 11 Home,,SSD,1000 gigabytes,16 gigabytes,DDR5,Lithium-ion,10 hours,Dedicated,NVIDIA,NVIDIA GeForce RTX 4070,AMD,AMD Ryzen 9 7000 Series,8-core,,3.64 pounds,Yes,1080p,1
$769.99,5.0,1 Review,"ThinkPad L13 Gen 3 13.3"" Notebook - AMD Ryzen 5 PRO 5675U - 8GB Memory - 256GB SSD",Lenovo,2022,Gray,,13.3 inches,1920 x 1200 (WUXGA),No,Windows 10 Pro,,SSD,256 gigabytes,8 gigabytes,DDR4,Lithium-ion,,Integrated,AMD Radeon,AMD Radeon,AMD,AMD Ryzen 5 5000 Series,,,2.76 pounds,Yes,,
$663.99,4.5,1076,"Pavilion x360 2-in-1 14"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 512GB SSD",HP,2022,Silver,LED,14 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home,Amazon Alexa,SSD,512 gigabytes,8 gigabytes,DDR4,Lithium-ion,8 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 12th Generation Core i5,10-core,1.3 gigahertz,3.35 pounds,Yes,,1
$401.99,4.4,1413,"Inspiron 3511 15.6"" Touch Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive",Dell,2021,Black,LED,15.6 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home in S Mode,,SSD,256 gigabytes,8 gigabytes,DDR4,Lithium-ion,,Integrated,Intel,Intel UHD Graphics,Intel,Intel 10th Generation Core i5,4-core (quad-core),1 gigahertz,3.82 pounds,No,720p,1
"$1,349.99",5.0,5,"Katana GF76 17.3"" Gaming Laptop - Intel Core i7-12700H - 16GB Memory - NVIDIA GeForce RTX 3070 Ti - 1TB SSD",MSI,2022,Black,,17.3 inches,1920 x 1080 (Full HD),No,Windows 11 Home,No,SSD,1000 gigabytes,16 gigabytes,DDR4 SDRAM,Other,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3070 Ti,Intel,Intel 12th Generation Core i7,8-core,1.7 gigahertz,5.7 pounds,Yes,,1
"$1,259.99",4.3,6,"Book 13.4"" UHD Touch Screen Laptop - Intel Evo Platform - Intel Core i7 - 16GB Memory - 1TB SSD",Razer,2021,White,LCD,13.4 inches,3840 x 2560 (UHD),Yes,Windows 11 Home,,SSD,1000 gigabytes,16 gigabytes,LPDDR4X,Lithium-ion,,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 11th Generation Core i7,,2.8 gigahertz,3.09 pounds,Yes,,
"$1,000.99",4.6,436,"Predator Helios 300 - 15.6"" FHD 165Hz Gaming Laptop - Intel Core i7 - 16GB DDR5 - NVIDIA GeForce RTX 3060 - 512GB SSD",Acer,2022,Black,LED,15.6 inches,1920 x 1080 (Full HD),No,Windows 11 Home,,SSD,512 gigabytes,16 gigabytes,DDR5,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3060,Intel,Intel 12th Generation Core i7,,,5.73 pounds,Yes,1080p,1
$950.99,4.6,305,"ROG Zephyrus G14 14"" Laptop - AMD Ryzen 7 - 16GB Memory - NVIDIA GeForce GTX 1650 - 512GB SSD",ASUS,2021,Gray,,14 inches,1920 x 1080 (Full HD),No,Windows 11 Home,,SSD,512 gigabytes,16 gigabytes,DDR4 SDRAM,Lithium-ion polymer,,Dedicated,NVIDIA,NVIDIA GeForce GTX 1650,AMD,AMD Ryzen 7 5000 Series,,,3.64 pounds,Yes,,
"$1,479.99",4.6,152,"16.1"" Laptop - Intel Core i7-12700H - 16GB Memory - NVIDIA GeForce RTX 3050 Ti - 1TB SSD",HP OMEN,2022,Black,LED,16.1 inches,1920 x 1080 (Full HD),No,Windows 11 Home,No,SSD,1000 gigabytes,16 gigabytes,DDR5,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3050 Ti,Intel,Intel 12th Generation Core i7,14-core,4.7 gigahertz,5.29 pounds,Yes,720p,1
$125.99,4.4,1107,"Ideapad 1i 14.0"" HD Laptop - Celeron N4020 - 4GB Memory - 64GB eMMC",Lenovo,2022,Gray,LCD,14 inches,1366 x 768 (HD),No,Windows 11 Home in S Mode,,eMMC,64 gigabytes,4 gigabytes,DDR4,Lithium-ion polymer,10 hours,Integrated,None,Intel UHD Graphics,Intel,Intel Celeron,2-core (dual-core),1.1 gigahertz,3.08 pounds,No,720p,1
$674.99,4.5,11,"Pavilion 15.6"" Touch-Screen Laptop - Intel Core i5-1235U - 8GB Memory - 256GB SSD",HP,2022,White,LED,15.6 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home,,SSD,256 gigabytes,8 gigabytes,DDR4 SDRAM,Lithium-ion,7.75 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 12th Generation Core i5,10-core,4.4 gigahertz,3.86 pounds,No,720p,1
"$1,499.99",3.4,14,"AERO 16"" 4K AMOLED Gaming Laptop - Intel i7-12700H - 16GB Memory - NVIDIA GeForce RTX 3070 Ti - 1TB SSD",GIGABYTE,2022,Silver,,16 inches,3840 x 2400,No,Windows 11 Home,,SSD,1024 gigabytes,16 gigabytes,DDR5,Lithium-ion polymer,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3070 Ti,Intel,Intel 12th Generation Core i7,,,5.07 pounds,Yes,,
$849.99,3.5,14,"Apple MacBook Pro 15"" Certified Refurbished - Intel Core i7 2.9GHz - Touch Bar - 16 GB Memory - 512GB SSD (2017)",Apple,2020,Space Gray,,15 inches,2880 x 1800 (Retina),No,Mac OS,,SSD,512 gigabytes,16 gigabytes,LPDDR3,Lithium-polymer,,Integrated,AMD Radeon,AMD Radeon Pro 560,Intel,Intel 7th Generation Core i7,,2.9 gigahertz,3.02 pounds,Yes,,
"$1,999.99",3.5,6,"Blade 15 - 15.6"" Gaming Laptop - QHD- 240HZ - Intel Core i7 - NVIDIA GeForce RTX 3070 Ti - 16GB RAM - 1TB SSD",Razer,2022,Black,LCD,15.6 inches,2560 x 1440 (QHD),No,Windows 11 Home,Cortana,SSD,1000 gigabytes,16 gigabytes,DDR5,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3070 Ti,Intel,Intel 12th Generation Core i7,,,4.4 pounds,Yes,,
$999.00,4.1,1025,"Galaxy 13.3"" 4K Ultra HD Touch-Screen Chromebook - Intel Core i5 - 8GB Memory - 256GB SSD",Samsung,2020,Gray,LED,13.3 inches,3840 x 2160 (4K),Yes,Chrome OS,Google Assistant,SSD,256 gigabytes,8 gigabytes,LPDDR3,Lithium-ion,8 hours,Integrated,Intel,Intel UHD Graphics,Intel,Intel 10th Generation Core i5,4-core (quad-core),1.6 gigahertz,2.29 pounds,Yes,720p,
"$2,699.99",4.4,60,"x15 R2  15.6"" FHD Gaming Laptop - 12th Gen Intel Core i7 - 16GB Memory - NVIDIA GeForce RTX 3070 Ti - 1TB SSD",Alienware,2022,White,LED,15.6 inches,1920 x 1080 (Full HD),No,Windows 11 Home,,SSD,1000 gigabytes,16 gigabytes,LPDDR5,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3070 Ti,Intel,Intel 12th Generation Core i7,12-core,4.8 gigahertz,5.2 pounds,Yes,720p,1
"$1,699.99",4.7,126,"16.1"" QHD Gaming Laptop - 12th Gen Intel Core i9-12900H - 16GB Memory - NVIDIA GeForce RTX 3060 Laptop GPU - 1TB SSD",HP OMEN,2022,Black,,16.1 inches,2560 x 1440 (QHD),No,Windows 11 Home,No,SSD,1000 gigabytes,16 gigabytes,DDR5,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3060,Intel,Intel 12th Generation Core i9,14-core,5 gigahertz,5.19 pounds,Yes,720p,1
"$1,999.99",4.2,58,"ROG Zephyrus 15.6"" WQHD 165Hz Gaming Laptop-AMD Ryzen 9-16GB DDR5 Memory-NVIDIA GeForce RTX 3070 Ti-1TB PCIe 4.0 SSD",ASUS,2022,Gray,LED,15.6 inches,2560 x 1440 (QHD),No,Windows 11 Home,,SSD,1000 gigabytes,16 gigabytes,DDR5,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3070 Ti,AMD,AMD Ryzen 9 6000 Series,8-core,,4.19 pounds,Yes,720p,1
$250.99,4.5,974,"Ideapad 3i 15.6"" HD Touch Laptop - Core i3-1115G4 - 8GB Memory - 256GB SSD",Lenovo,2022,Gray,LCD,15.6 inches,1366 x 768 (HD),Yes,Windows 11 Home in S Mode,,SSD,256 gigabytes,8 gigabytes,DDR4,Lithium-ion polymer,7.3 hours,Integrated,None,Intel UHD Graphics,Intel,Intel 11th Generation Core i3,2-core (dual-core),3 gigahertz,4.07 pounds,No,720p,1
"$1,649.99",4.6,725,Galaxy Book2 Pro 360 2-in-1 15.6” AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory – 1TB SSD,Samsung,2022,Purple,OLED,15.6 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home,Bixby,SSD,1000 gigabytes,16 gigabytes,LPDDR5,Lithium-ion,21 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 12th Generation Core i7 Evo Platform,,4.6 gigahertz,3.06 pounds,Yes,1080p,
"$1,799.99",4.5,29,gram 17” Ultra lightweight Laptop - Intel Evo Platform 12th Gen Intel Core i7 - 16GB RAM - 1TB NVMe SSD,LG,2022,Gray,LCD,17 inches,2560 x 1600,No,Windows 11 Home,Amazon Alexa,SSD,1000 gigabytes,16 gigabytes,LPDDR5,Lithium-ion,,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 12th Generation Core i7,,,2.98 pounds,Yes,,1
$431.99,4.5,579,"Inspiron 3511 15.6"" Touch Laptop - Intel Core i5 - 8GB Memory - 256GB Solid State Drive",Dell,2021,Black,LED,15.6 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home in S Mode,,SSD,256 gigabytes,8 gigabytes,DDR4,Lithium-ion,,Integrated,Intel,Intel UHD Graphics,Intel,Intel 11th Generation Core i5,4-core (quad-core),4.2 gigahertz,3.82 pounds,No,720p,1
$449.99,3.6,17,"Apple MacBook Pro 13.3"" Certified Refurbished - Intel Core i5 - 8GB Memory - 256GB SSD (2016)",Apple,2016,Space Gray,,13.3 inches,2560 x 1600 (Retina),No,Mac OS,,SSD,256 gigabytes,8 gigabytes,LPDDR3,Lithium-polymer,,Integrated,Intel,Intel Iris Graphics 540,Intel,Intel 6th Generation Core i5,,2 gigahertz,3.02 pounds,Yes,,
$469.99,5.0,2,"17.3"" Laptop - Intel Pentium Silver N5030 - 4GB Memory - 256GB SSD",HP,2022,Silver,LED,17.3 inches,1600 x 900 (HD+),No,Windows 11 Home in S Mode,,SSD,256 gigabytes,4 gigabytes,DDR4,Lithium-ion,11.5 hours,Integrated,Intel,Intel UHD Graphics 605,Intel,Intel Pentium,4-core (quad-core),3.1 gigahertz,0.78 pounds,No,720p,1
"$1,149.99",4.2,10,"Geek Squad Certified Refurbished MacBook Pro - 13"" Display with Touch Bar - Intel Core i5 - 16GB Memory - 512GB SSD",Apple,2020,Space Gray,,13.3 inches,2560 x 1600 (Retina),No,Mac OS,,SSD,512 gigabytes,16 gigabytes,LPDDR4X,Lithium-polymer,,Integrated,Intel,Intel Iris Plus Graphics,Intel,Intel 10th Generation Core i5,,,3.1 pounds,Yes,720p,
$929.99,4.6,447,Surface Pro 7+ - 12.3” Touch Screen – Intel Core i3 – 8GB Memory – 128GB SSD with Black Type Cover (Latest Model),Microsoft,2021,Silver,LCD,12.3 inches,2736 x 1824,,Windows 11 Home,,,128 gigabytes,8 gigabytes,LPDDR4X,Lithium-ion,15 hours,,,,Intel,Intel 11th Generation Core i3,,,27.16 ounces,Yes,1080p,
$179.99,4.3,1966,"14.0"" Laptop - Intel Celeron N4020 - 4GB Memory - 64GB eMMC - Peacock Blue",ASUS,2022,Blue,,14 inches,1360 x 768 (HD),No,Windows 11 Home in S Mode,,eMMC,64 gigabytes,4 gigabytes,DDR4,Lithium-ion,,Integrated,Intel,Intel UHD Graphics,Intel,Intel Pentium,,,2.87 pounds,No,,
$569.99,4.2,5,"Apple MacBook Air 13"" Pre-Owned 2560x1600 Intel 8th Gen Core i5 1.6GHz with 8GB Memory UHD Graphics with 1.5GB 256GB SSD",Apple,2018,Space Gray,,13.3 inches,2560 x 1600,No,Mac OS,,SSD,256 gigabytes,8 gigabytes,LPDDR3,Lithium-polymer,,Integrated,Intel,Intel UHD Graphics 617,Intel,Intel 8th Generation Core i5,,,2.75 pounds,Yes,,
"$1,649.99",4.6,725,Galaxy Book2 Pro 360 2-in-1 15.6” AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory – 1TB SSD,Samsung,2022,Purple,OLED,15.6 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home,Bixby,SSD,1000 gigabytes,16 gigabytes,LPDDR5,Lithium-ion,21 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 12th Generation Core i7 Evo Platform,,4.6 gigahertz,3.06 pounds,Yes,1080p,
"$1,199.99",4.6,5,"WF76 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA Quadro A2000 - 1 TB SSD",MSI,2021,Black,,17.3 inches,1920 x 1080 (Full HD),No,Windows 10 Pro,No,SSD,1000 gigabytes,16 gigabytes,DDR4 SDRAM,Other,,Dedicated,NVIDIA,NVIDIA Quadro A2000,Intel,Intel 11th Generation Core i7,,2.4 gigahertz,5.72 pounds,Yes,,
$899.99,3.0,2,"Lenovo LOQ 15.6"" Gaming Laptop FHD - AMD Ryzen 7 7840HS with 8GB Memory - NVIDIA Geforce RTX 4050 - 512GB SSD Storage",Lenovo,2023,Gray,LCD,15.6 inches,1920 x 1080 (Full HD),No,Windows 11 Home,,SSD,512 gigabytes,8 gigabytes,DDR5,Lithium-polymer,7 hours,Dedicated,NVIDIA,NVIDIA GeForce RTX 4050,AMD,AMD Ryzen 7 7000 Series,,,5.28 pounds,Yes,1080p,
$379.99,4.9,10,"840 G4 14"" Refurbished Laptop - Intel Core i5 - 16GB Memory - 512GB SSD",HP,2021,Gray,LED,14 inches,1366 x 768 (HD),No,Windows 10 Pro,,SSD,512 gigabytes,16 gigabytes,DDR4,Lithium-ion,,Integrated,Intel,Intel UHD Graphics 620,Intel,Intel 7th Generation Core i5,2-core (dual-core),2.6 gigahertz,3.26 pounds,Yes,,
$539.99,3.2,14,"Apple MacBook Air 13.3"" Certified Refurbished - Intel Core i5 1.6 with 8GB Memory - 128GB SSD (2018)",Apple,2018,Space Gray,,13.3 inches,2560 x 1600 (Retina),No,Mac OS,,SSD,128 gigabytes,8 gigabytes,LPDDR3,Lithium-polymer,,Integrated,Intel,Intel UHD Graphics 617,Intel,Intel 8th Generation Core i5,,,2.96 pounds,Yes,,
$909.99,4.7,3,"ProBook 450 G9 15.6"" Laptop - Intel Core i5 - 16 GB Memory - 256 GB SSD",HP,2022,Silver,LCD,15.6 inches,1920 x 1080 (Full HD),No,Windows 11 Pro,No,SSD,256 gigabytes,16 gigabytes,DDR4 SDRAM,Other,,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 12th Generation Core i5,10-core,1.3 gigahertz,3.83 pounds,Yes,,
"$1,399.99",1.0,2,"Geek Squad Certified Refurbished MacBook Pro 15.4"" Display- Intel Core i9- 16GB Memory- AMD Radeon Pro 560X - 512GB SSD",Apple,2019,Space Gray,LED,15.4 inches,2880 x 1800 (Retina),No,Mac OS,,SSD,512 gigabytes,16 gigabytes,DDR4,Lithium-polymer,,Dedicated,AMD Radeon,AMD Radeon Pro 560X,Intel,Intel 9th Generation Core i9,,,4.02 pounds,Yes,720p,
"$1,472.99",3.6,7,gram 16” Ultra lightweight Laptop - Intel Evo Platform 12th Gen Intel Core i7 - 16GB RAM - 1TB NVMe SSD,LG,2022,Black,LCD,16 inches,2560 x 1600,No,Windows 11 Home,Amazon Alexa,SSD,1000 gigabytes,16 gigabytes,LPDDR5,Lithium-ion,,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 12th Generation Core i7,,,2.64 pounds,Yes,,1
$974.99,5.0,1 Review,"ThinkPad E15 Gen 4 15.6"" Notebook - AMD Ryzen 7 5825U - 16GB Memory - 512GB SSD",Lenovo,2022,Space Gray,,15.6 inches,1920 x 1080 (Full HD),No,Windows 10 Pro,,SSD,512 gigabytes,16 gigabytes,DDR4 SoDIMM,Lithium-ion,,Integrated,AMD Radeon,AMD Radeon,AMD,AMD Ryzen 7 5000 Series,,,3.92 pounds,No,,
$829.99,4.8,4,"Geek Squad Certified Refurbished MacBook Air 13.3"" Laptop - Intel Core i5 - 8GB Memory - 512GB Solid State Drive",Apple,2020,Space Gray,,13.3 inches,2560 x 1600 (Retina),No,Mac OS,,SSD,512 gigabytes,8 gigabytes,LPDDR4X,Lithium-polymer,,Integrated,Intel,Intel Iris Plus Graphics 645,Intel,Intel 10th Generation Core i5,4-core (quad-core),1.1 gigahertz,2.8 pounds,Yes,720p,
"$3,299.99",4.3,6,"ROG Zephyrus 14"" 165Hz Gaming Laptop QHD - AMD Ryzen 9 7940HS with 32GB RAM - NVIDIA GeForce RTX 4090 - 1TB SSD",ASUS,2023,White,,14 inches,2560 x 1600,No,Windows 11 Home,,SSD,1000 gigabytes,32 gigabytes,DDR5,Lithium-ion,,Integrated,NVIDIA,NVIDIA GeForce RTX 4090,AMD,AMD Ryzen 9 7000 Series,8-core,,3.79 pounds,Yes,,1
$949.99,4.3,110,"TUF Gaming 17.3"" Laptop - Intel Core i5 - 8GB Memory - NVIDIA GeForce RTX 3050 Ti - 512GB SSD",ASUS,2021,Gray,LED,17.3 inches,1920 x 1080 (Full HD),No,Windows 10,,SSD,512 gigabytes,8 gigabytes,DDR4 SoDIMM,Lithium-ion polymer,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3050 Ti,Intel,Intel 11th Generation Core i5,,,5.73 pounds,Yes,,
$949.99,4.7,304,"Surface Pro 9 – 13"" Touch Screen – Intel Evo Platform Core i5- 8GB Memory – 256GB SSD – Device Only (Latest Model)",Microsoft,2022,Green,LCD,13 inches,2880 x 1920,,Windows 11 Home,,,256 gigabytes,8 gigabytes,LPDDR5,Lithium-ion,15.5 hours,,,,Intel,12th Gen Intel Core i5-1235U,,,31.74 ounces,,1080p,
"$1,999.99",4.7,7,"Blade 14- 14"" Gaming Laptop- QHD 165Hz- AMD Ryzen 9 6900HX- NVIDIA GeForce RTX 3070 Ti- 16GB RAM- 1TB SSD",Razer,2022,White,,14 inches,2560 x 1440 (QHD),No,Windows 11 Home,,SSD,1000 gigabytes,16 gigabytes,DDR5,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3070 Ti,AMD,AMD Ryzen 9 6000 Series,,,3.92 pounds,Yes,,
$999.99,,Be the first to write a review,"Galaxy Book3 360 13.3"" FHD AMOLED Touch Screen Laptop - Intel Core i5-1340P - 8GB Memory - 512GB SSD",Samsung,2023,Gray,,13.3 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home,,SSD,512 gigabytes,8 gigabytes,LPDDR4X,Lithium-ion,20 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 13th Generation Core i5,,,2.56 pounds,Yes,1080p,1
"$1,749.99",5.0,4,ROG Flow Z13 13.4” Touchscreen Gaming Laptop QHD 165Hz- Intel Core i9 with 16GB Memory NVIDIA GeForce RTX 4050 - 1TB SSD,ASUS,2023,Black,LED,16 inches,2560 x 1600,Yes,Windows 11 Home,,SSD,1000 gigabytes,16 gigabytes,DDR5,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 4070,Intel,Intel 13th Generation Core i9,,,4.85 pounds,Yes,1080p,1
$909.99,4.4,15 on hp.com,"ProBook 455 G9 15.6"" Laptop - AMD Ryzen 7 with 16GB Memory - 512 GB SSD",HP,2022,Silver,LCD,15.6 inches,1920 x 1080 (Full HD),No,Windows 10 Pro,No,SSD,512 gigabytes,16 gigabytes,DDR4 SDRAM,Other,,Integrated,AMD Radeon,AMD Radeon,AMD,AMD Ryzen 7 5000 Series,8-core,,3.84 pounds,Yes,,
"$1,399.99",4.3,414,"ROG Zephyrus 14"" FHD 144Hz Gaming Laptop - AMD Ryzen 7 - 16GB DDR4 Memory - NVIDIA GeForce RTX 3060 - 512GB PCIe SSD",ASUS,2022,White,LED,14 inches,1920 x 1080 (Full HD),No,Windows 11 Home,,SSD,512 gigabytes,16 gigabytes,DDR4,Lithium-ion,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3060,AMD,AMD Ryzen 7 5000 Series,8-core,,3.53 pounds,Yes,,1
"$1,299.99",4.7,162,Surface Laptop 5 – 13.5” Touch Screen – Intel Evo Platform Core i5 – 8GB Memory – 512GB SSD (Latest Model),Microsoft,2022,Black,LCD,13.5 inches,2256 x 1504,Yes,Windows 11 Home,No,SSD,512 gigabytes,8 gigabytes,LPDDR5X,Lithium-ion,18 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 12th Generation Core i5 Evo Platform,,,2.87 pounds,Yes,720p,0
"$1,199.99",4.4,11,"Geek Squad Certified Refurbished MacBook Pro - 16"" Display- Intel Core i7- 16GB Memory- AMD Radeon Pro 5300M - 512GB SSD",Apple,2019,Silver,LED,16 inches,3072 x 1920 (Retina),No,macOS Catalina,,SSD,512 gigabytes,16 gigabytes,DDR4,Lithium-ion polymer,11 hours,Dedicated,AMD Radeon,AMD Radeon Pro 5300M,Intel,Intel 9th Generation Core i7,,,4.3 pounds,Yes,720p,
$399.99,3.5,4,"Vivobook Flip 14"" Touchscreen Laptop - Intel Celeron N4500 - 4GB Memory - 128GB eMMC",ASUS,2022,Blue,,14 inches,1920 x 1080 (Full HD),Yes,Windows 11 Home in S Mode,,eMMC,128 gigabytes,4 gigabytes,DDR4,Lithium-ion,,Integrated,Intel,Intel UHD Graphics,Intel,Intel Celeron,,,3.31 pounds,Yes,720p,1
"$1,399.99",3.0,1 Review,"Creator Z16P B12U 16"" Touch-Screen Laptop - Intel Core i7 - 16 GB Memory - NVIDIA GeForce RTX 3070 Ti - 1 TB SSD",MSI,2022,Gray,,16 inches,2560 x 1600,Yes,Windows 11 Pro,,SSD,1000 gigabytes,16 gigabytes,DDR5 SDRAM,Other,,Dedicated,NVIDIA,NVIDIA GeForce RTX 3070 Ti,Intel,Intel 12th Generation Core i7,,,5.4 pounds,Yes,,
"$1,368.99",4.7,7,"Galaxy Book3 Pro 14"" 3K AMOLED Laptop - Intel 13th Gen Evo Core i7-1360P -16GB Memory -512 GB SSD",Samsung,2023,Gray,OLED,14 inches,2880 x 1800,No,Windows 11 Home,"Bixby, Cortana",SSD,512 gigabytes,16 gigabytes,LPDDR5,Lithium-ion,16 hours,Integrated,Intel,Intel Iris Xe Graphics,Intel,Intel 13th Generation Core i7,12-core,5 gigahertz,2.58 pounds,Yes,1080p,1
