Stars,Year of Release,Price,Screen Size,System Memory (RAM),Brand_Group_Apple,Brand_Group_Gaming,Brand_Group_Mainstream,Operating System_chrome,Operating System_mac,Operating System_windows,Backlit Keyboard_No,Backlit Keyboard_Yes
4.8,2022.0,1299.0,13.6,8.0,1,0,0,0,1,0,0,1
4.5,2023.0,1499.99,15.6,16.0,0,0,1,0,0,1,0,1
4.6,2022.0,549.99,12.4,8.0,0,0,1,0,0,1,1,0
4.9,2023.0,1499.0,15.0,8.0,1,0,0,0,1,0,0,1
4.5,2023.0,2799.99,16.0,32.0,0,0,1,0,0,1,0,1
4.8,2023.0,1149.99,15.6,16.0,0,0,1,0,0,1,0,1
4.9,2023.0,2699.0,16.2,16.0,1,0,0,0,1,0,0,1
4.8,2023.0,2299.0,14.2,16.0,1,0,0,0,1,0,0,1
4.9,2023.0,2499.0,16.2,16.0,1,0,0,0,1,0,0,1
4.7,2023.0,1199.99,16.0,16.0,0,0,1,0,0,1,0,1
4.7,2023.0,1149.99,16.1,16.0,0,1,0,0,0,1,0,1
4.8,2023.0,319.0,14.0,4.0,0,0,1,1,0,0,1,0
4.6,2023.0,399.0,15.6,8.0,0,0,1,1,0,0,1,0
4.2,2022.0,199.99,14.0,4.0,0,0,1,0,0,1,1,0
4.5,2022.0,269.0,15.6,4.0,0,0,1,1,0,0,1,0
4.5,2023.0,1749.99,16.0,16.0,0,0,1,0,0,1,0,1
4.4,2022.0,1199.99,15.6,16.0,0,1,0,0,0,1,0,1
4.6,2021.0,1799.99,14.4,16.0,0,0,1,0,0,1,0,1
4.7,2023.0,1399.99,14.0,16.0,0,0,1,0,0,1,0,1
4.7,2023.0,899.99,16.0,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,1349.99,15.6,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,1149.99,15.6,16.0,0,0,1,0,0,1,0,1
4.6,2022.0,1499.99,15.0,16.0,0,0,1,0,0,1,0,1
4.3,2022.0,1100.99,16.0,16.0,0,0,1,0,0,1,0,1
4.6,2023.0,399.0,15.6,8.0,0,0,1,1,0,0,1,0
4.7,2023.0,1499.99,13.5,16.0,0,0,1,0,0,1,0,1
4.8,2023.0,1349.99,15.6,16.0,0,0,1,0,0,1,0,1
4.7,2022.0,948.0,13.5,8.0,0,0,1,0,0,1,0,1
4.7,2022.0,599.99,12.4,8.0,0,0,1,0,0,1,1,0
4.7,2023.0,919.99,15.6,8.0,0,0,1,0,0,1,0,1
4.7,2023.0,749.99,16.0,8.0,0,0,1,0,0,1,0,1
4.6,2022.0,189.0,14.0,4.0,0,0,1,1,0,0,1,0
4.4,2023.0,1999.99,16.0,32.0,0,1,0,0,0,1,0,1
